year,occ_desc,mthly_gross_wage_75_pctile,mthly_gross_wage_50_pctile,mthly_gross_wage_25_pctile,mthly_basic_wage_75_pctile,mthly_basic_wage_50_pctile,mthly_basic_wage_25_pctile
2024,plumber,2880,2400,1600,2880,2400,1600
2024,podiatrist,6956,5054,4498,6956,5054,4498
2024,policy administration professional (e.g. policy analyst),8858,5179,4100,8761,5127,4040
2024,policy manager,15278,12053,9098,15197,11988,9081
2024,port limit helmsman/steersman/engine driver/tugmaster,3284,2683,2334,3130,2617,2332
2024,port/shipping operations manager,10894,8695,7382,10877,8655,7380
2024,port/shipping operations supervisor (including post-fixture and planner),4614,3830,3354,4495,3798,3312
2024,porter (except hotel),2018,1712,1536,2018,1712,1536
2024,postal service counter clerk,3012,2392,2073,2530,2057,1674
2024,postal service manager,12414,7910,5550,12300,7824,5550
2024,postman,3472,2706,2128,2542,2050,1650
2024,power generation and distribution engineer,12139,9131,6947,11855,9015,6696
2024,precision grinding machine setter-operator,3882,3227,2740,2955,2630,2481
2024,premises and facilities maintenance manager (excluding building security manager),8704,6542,5000,8490,6456,4900
2024,premises and facilities maintenance officer,4715,3875,3200,4630,3805,3100
2024,pre-press trades worker,3967,3568,3118,3711,3250,2945
2024,pre-primary education teacher,4800,4000,3600,4500,3790,3400
2024,pre-school education manager,8434,6080,2749,8009,5555,2736
2024,printing machine operator,3452,2229,1700,3150,1950,1600
2024,private security officer,2971,2748,2250,2710,2643,2036
2024,private tutor (academic),5370,4250,2600,5370,4250,2600
2024,process engineer,7600,5833,4990,7493,5811,4970
2024,process engineering technician,5309,4461,3784,5206,4344,3683
2024,procurement engineer,8956,6500,4906,8689,6365,4906
2024,procurement/purchasing clerk,3878,2850,1600,3808,2785,1600
2024,procurement/purchasing manager,12248,8367,6000,12034,8209,5918
2024,"producer (stage, film, television, game, commercial, video and radio)",9273,6736,5000,9223,6728,5000
2024,product and industrial designer,7782,5710,4218,7500,5420,4172
2024,production engineer,10083,6251,4862,9874,6070,4708
2024,production engineering technician,5893,4380,3343,3942,3327,2692
2024,production manager in agriculture and fisheries,10389,6930,5580,10080,6900,5450
2024,production planning clerk,4908,3538,2193,4681,3344,2119
2024,proofreading clerk,7000,5000,3600,7000,5000,3600
2024,psychiatrist,9312,6886,6489,8266,6356,5959
